ZE,ENDEREÇO,BAIRRO,CIDADE,Address,Latitude,Longitude
169,"RUA SACADURA CABRAL, 226, FUNDOS",SAUDE,RIO DE JANEIRO,"RUA SACADURA CABRAL, 226, FUNDOS	SAUDE	RIO DE JANEIRO",-22.897068,-43.189719
170,"AV. PROFESSOR MANUEL DE ABREU, 286",MARACANÃ,RIO DE JANEIRO,"AV. PROFESSOR MANUEL DE ABREU, 286	MARACANÃ	RIO DE JANEIRO",-22.914962,-43.234412
172,ESTRADA DA USINA RUA DOIS S/N EDIFICIO DO FORUM,CENTRO,ARMAÇÃO DOS BÚZIOS,ESTRADA DA USINA RUA DOIS S/N EDIFICIO DO FORUM	CENTRO	ARMAÇÃO DOS BÚZIOS,FAILED,FAILED
174,"AV. TENENTE ENEAS TORNO 42, SALA 27 - EDIFICIO DO FORUM",NOVA NITERÓI,TRÊS RIOS,"AV. TENENTE ENEAS TORNO 42, SALA 27 - EDIFICIO DO FORUM	NOVA NITERÓI	TRÊS RIOS",FAILED,FAILED
176,"AV MONSENHOR FELIX, 512",IRAJÁ,RIO DE JANEIRO,"AV MONSENHOR FELIX, 512	IRAJÁ	RIO DE JANEIRO",-22.846548,-43.324361
179,AV. AYRTON SENNA 2001 BLOCO C BARRA DA TIJUCA,BARRA DA TIJUCA,RIO DE JANEIRO,AV. AYRTON SENNA 2001 BLOCO C BARRA DA TIJUCA	BARRA DA TIJUCA	RIO DE JANEIRO,-22.992523,-43.366897
180,"RUA GODOFREDO VIANA, 400",TAQUARA,RIO DE JANEIRO,"RUA GODOFREDO VIANA, 400	TAQUARA	RIO DE JANEIRO",-22.917403,-43.367858
181,"AVENIDA PAULINO RODRIGUES DE SOUZA, 2001",PARQUE TAMARIZ,IGUABA GRANDE,"AVENIDA PAULINO RODRIGUES DE SOUZA, 2001	PARQUE TAMARIZ	IGUABA GRANDE",-22.845879,-42.228508
182,"RUA GODOFREDO VIANA, 400",TAQUARA,RIO DE JANEIRO,"RUA GODOFREDO VIANA, 400	TAQUARA	RIO DE JANEIRO",-22.917403,-43.367858
183,RUA HILARIO ETTORE 378,CENTRO (PORTO REAL),PORTO REAL,RUA HILARIO ETTORE 378	CENTRO (PORTO REAL)	PORTO REAL,-22.419398,-44.302584
184,"AVENIDA GUANABARA, N 3.837",BOSQUE DA PRAIA,RIO DAS OSTRAS,"AVENIDA GUANABARA, N 3.837	BOSQUE DA PRAIA	RIO DAS OSTRAS",-22.52804,-41.951947
185,RUA GODOFREDO VIANA 400,TAQUARA,RIO DE JANEIRO,RUA GODOFREDO VIANA 400	TAQUARA	RIO DE JANEIRO,-22.917403,-43.367858
186,"AVENIDA PRESIDENTE LINCOLN, 440 - LOJA - VILAR DOS TELES",VILAR DOS TELES,SÃO JOÃO DE MERITI,"AVENIDA PRESIDENTE LINCOLN, 440 - LOJA - VILAR DOS TELES	VILAR DOS TELES	SÃO JOÃO DE MERITI",-22.77791,-43.367104
187,"AV PRESIDENTE LINCOLN, 911 - LOJA N/T/U",VILAR DOS TELES,SÃO JOÃO DE MERITI,"AV PRESIDENTE LINCOLN, 911 - LOJA N/T/U	VILAR DOS TELES	SÃO JOÃO DE MERITI",-22.776437,-43.365021
188,"AV. VICENTE DE CARVALHO, 909, LJ. 115/116, 2 PISO, CARIOCA SHOPPING",VILA DA PENHA,RIO DE JANEIRO,"AV. VICENTE DE CARVALHO, 909, LJ. 115/116, 2 PISO, CARIOCA SHOPPING	VILA DA PENHA	RIO DE JANEIRO",-22.849944,-43.3115069
191,"ESTRADA DA CACUIA, 1574",ILHA DO GOVERNADOR,RIO DE JANEIRO,"ESTRADA DA CACUIA, 1574	ILHA DO GOVERNADOR	RIO DE JANEIRO",-22.80682,-43.181245
192,RUA ORCADAS 435 - SALA 12 - XX RA (SUPERINTENDÊNCIA REGIONAL DA ILHA),PORTUGUESA,RIO DE JANEIRO,RUA ORCADAS 435 - SALA 12 - XX RA (SUPERINTENDÊNCIA REGIONAL DA ILHA)	PORTUGUESA	RIO DE JANEIRO,22.8009422,-43.2024887
195,"RUA ALICE QUINTELA MAURICI REGADAS, 66, LJ 07",VÁRZEA,TERESÓPOLIS,"RUA ALICE QUINTELA MAURICI REGADAS, 66, LJ 07	VÁRZEA	TERESÓPOLIS",-22.409708,-42.965079
196,"RUA SENHOR DOS PASSOS, 37 - EDIFÍCIO DO FÓRUM",CENTRO,SÃO JOSÉ DO VALE DO RIO PRETO,"RUA SENHOR DOS PASSOS, 37 - EDIFÍCIO DO FÓRUM	CENTRO	SÃO JOSÉ DO VALE DO RIO PRETO",FAILED,FAILED
198,PRAÇA MARECHAL JOSÉ PESSOA 95 - EDIFÍCIO DO FÓRUM ANTIGO,CENTRO,RESENDE,PRAÇA MARECHAL JOSÉ PESSOA 95 - EDIFÍCIO DO FÓRUM ANTIGO	CENTRO	RESENDE,-22.467556,-44.448663
199,RUA VISCONDE DE SEPETIBA 987 FUNDOS - 2 ANDAR,CENTRO,NITERÓI,RUA VISCONDE DE SEPETIBA 987 FUNDOS - 2 ANDAR	CENTRO	NITERÓI,-22.892902,-43.118389
200,"AVENIDA BRIGADEIRO LIMA E SILVA, 282",PARQUE DUQUE,DUQUE DE CAXIAS,"AVENIDA BRIGADEIRO LIMA E SILVA, 282	PARQUE DUQUE	DUQUE DE CAXIAS",-22.79925,-43.293149
201,RUA PEDRO ALVARES CABRAL 305 - 2 ANDAR - EDIFÍCIO DA PREFEITURA,CENTRO,NILÓPOLIS,RUA PEDRO ALVARES CABRAL 305 - 2 ANDAR - EDIFÍCIO DA PREFEITURA	CENTRO	NILÓPOLIS,FAILED,FAILED
204,RUA SACADURA CABRAL 226 - TERREO,SAUDE,RIO DE JANEIRO,RUA SACADURA CABRAL 226 - TERREO	SAUDE	RIO DE JANEIRO,-22.897068,-43.189719
211,"RUA JARDIM BOTÂNICO, N.1060",JARDIM BOTÂNICO,RIO DE JANEIRO,"RUA JARDIM BOTÂNICO, N.1060	JARDIM BOTÂNICO	RIO DE JANEIRO",-22.972134,-43.224327
214,"RUA DIAS DA CRUZ, 787",MEIER,RIO DE JANEIRO,"RUA DIAS DA CRUZ, 787	MEIER	RIO DE JANEIRO",-22.904104,-43.295882
216,AV DOM HELDER CAMARA 4175 - 2 ANDAR,DEL CASTILHO,RIO DE JANEIRO,AV DOM HELDER CAMARA 4175 - 2 ANDAR	DEL CASTILHO	RIO DE JANEIRO,-22.881416,-43.274331
218,"RUA SIDÔNIO PAIS, 54, LOJAS 4 E 5",CASCADURA,RIO DE JANEIRO,"RUA SIDÔNIO PAIS, 54, LOJAS 4 E 5	CASCADURA	RIO DE JANEIRO",-22.880849,-43.325911
219,"RUA SIDÔNIO PAES, 54 LOJA 06",CASCADURA,RIO DE JANEIRO,"RUA SIDÔNIO PAES, 54 LOJA 06	CASCADURA	RIO DE JANEIRO",-22.880849,-43.325911
221,"RUA PEDRO ALVARES CABRAL, 305, TÉRREO",CENTRO,NILÓPOLIS,"RUA PEDRO ALVARES CABRAL, 305, TÉRREO	CENTRO	NILÓPOLIS",-22.808052,-43.419244
222,"PRAÇA GETULIO VARGAS, 89/97",CENTRO,NOVA FRIBURGO,"PRAÇA GETULIO VARGAS, 89/97	CENTRO	NOVA FRIBURGO",-22.281016,-42.532418
225,"BR 465, 310, SALA 208 (PRÉDIO DO FORUM)",JARDIM SAO JORGE,SEROPÉDICA,"BR 465, 310, SALA 208 (PRÉDIO DO FORUM)	JARDIM SAO JORGE	SEROPÉDICA",FAILED,FAILED
229,"AV. PROFESSOR MANOEL DE ABREU, 286",MARACANÃ,RIO DE JANEIRO,"AV. PROFESSOR MANOEL DE ABREU, 286	MARACANÃ	RIO DE JANEIRO",-22.914962,-43.234412
230,"RUA FIGUEIREDO CAMARGO, 1133, SALA 205",BANGU,RIO DE JANEIRO,"RUA FIGUEIREDO CAMARGO, 1133, SALA 205	BANGU	RIO DE JANEIRO",-22.871357,-43.461132
233,"RUA FIGUEIREDO CAMARGO, 1.133 - SALA 303",BANGU,RIO DE JANEIRO,"RUA FIGUEIREDO CAMARGO, 1.133 - SALA 303	BANGU	RIO DE JANEIRO",-22.871357,-43.461132
234,"RUA FIGUEIREDO CAMARGO, 1133, SALA 202 - ENTRADA PELA RUA LATERAL",BANGU,RIO DE JANEIRO,"RUA FIGUEIREDO CAMARGO, 1133, SALA 202 - ENTRADA PELA RUA LATERAL	BANGU	RIO DE JANEIRO",-22.871357,-43.461132
238,"RUA FIGUEIREDO CAMARGO, 1.133, SALA 305",BANGU,RIO DE JANEIRO,"RUA FIGUEIREDO CAMARGO, 1.133, SALA 305	BANGU	RIO DE JANEIRO",-22.871357,-43.461132
241,RUA MARTINHO DE CAMPOS S/N POSTO AGRICOLA,SANTA CRUZ,RIO DE JANEIRO,RUA MARTINHO DE CAMPOS S/N POSTO AGRICOLA	SANTA CRUZ	RIO DE JANEIRO,-22.918469,-43.685606
242,AV. CESARIO DE MELLO 3963,CAMPO GRANDE,RIO DE JANEIRO,AV. CESARIO DE MELLO 3963	CAMPO GRANDE	RIO DE JANEIRO,-22.907394,-43.569761
243,RUA MARTINHO DE CAMPOS S/N,SANTA CRUZ,RIO DE JANEIRO,RUA MARTINHO DE CAMPOS S/N	SANTA CRUZ	RIO DE JANEIRO,-22.918088,-43.685426
245,"RUA DOM PEDRITO, 1, 2 ANDAR - XVIII ADMINISTRAÇÃO REGIONAL",CAMPO GRANDE,RIO DE JANEIRO,"RUA DOM PEDRITO, 1, 2 ANDAR - XVIII ADMINISTRAÇÃO REGIONAL	CAMPO GRANDE	RIO DE JANEIRO",-22.903892,-43.57325
246,RUA MARTINHO DE CAMPOS S/N POSTO AGRÍCOLA,SANTA CRUZ,RIO DE JANEIRO,RUA MARTINHO DE CAMPOS S/N POSTO AGRÍCOLA	SANTA CRUZ	RIO DE JANEIRO,-22.918471,-43.68552
254,"RUA FRANCISCO PORTELA, N. 221",CENTRO,MACAÉ,"RUA FRANCISCO PORTELA, N. 221	CENTRO	MACAÉ",-22.371972,-41.781138
255,ESTRADA DO CORREIO IMPERIAL - 1003,PITEIRAS,QUISSAMÃ,ESTRADA DO CORREIO IMPERIAL - 1003	PITEIRAS	QUISSAMÃ,-22.111311,-41.473858
256,"RUA RUI BARBOSA, 608, SOBRELOJA",CENTRO,CABO FRIO,"RUA RUI BARBOSA, 608, SOBRELOJA	CENTRO	CABO FRIO",FAILED,FAILED
